GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
131024B,144.50275,44.27133,3.1,1, TBD ,1.33E-02, N/A ,0.2," +6.40E-2, -5.65E-2",1.5," +0.14, -0.13",3.94E-10," +3.55E-11, -3.29E-11",4.61E-10,0.13," +8.22E-2, -7.00E-2",1.6," +0.23, -0.22",1.75E-12," +2.76E-13, -2.37E-13",2.04E-12,5.77E-15,1.18E-15,-1," +0.95, -0.47",132," +8.6, -5.4",0.32," +0.49, -0.21", N/A ," , ",1.5," +0.48, -0.39", N/A ," , ",6.55E-10," +1.84E-10, -1.43E-10",8.11E-10, N/A ," , ", N/A ,2," +0.12, -0.10", N/A ," , ",0.2," +7.16E-2, -6.42E-2",0.13," +8.22E-2, -7.00E-2",1.5," +0.15, -0.15",1.6," +0.23, -0.22",3.55E-10," +3.63E-11, -3.35E-11",4.18E-10,1.75E-12," +2.76E-13, -2.37E-13",2.04E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131024A,290.48151,-64.60267,1.5,2, TBD ,5.26E-02, N/A ,4.96E-02," +0.50, -4.96E-2",2.1," +1.3, -0.70",1.08E-10," +8.46E-11, -6.13E-11",1.36E-10,3.09E-02," +4.03E-2, -3.09E-2",1.9," +0.16, -0.15",4.79E-12," +4.68E-13, -4.20E-13",5.64E-12,1.01E-12,5.13E-13,2.1," +0.47, -0.39",479," +135, -119",4.96E-02," +0.50, -4.96E-2",3.78E-02," +0.18, -3.78E-2",2.1," +1.3, -0.70",1.3," +0.43, -0.33",1.15E-10," +9.02E-11, -6.53E-11",1.45E-10,5.57E-11," +1.78E-11, -1.43E-11",5.91E-11,0.12," +0.30, -0.39",3411," +8143, -1287", N/A ," , ",5.85E-03," +6.86E-2, -5.85E-3", N/A ," , ",2.1," +0.31, -0.19", N/A ," , ", N/A ,9.13E-12," +1.33E-12, -1.38E-12",1.07E-11,0.87," +0.14, -0.13", N/A ," , ", N/A ," , ",5.99E-02," +5.33E-2, -4.69E-2", N/A ," , ",2," +0.20, -0.19", N/A ," , ", N/A ,3.32E-12," +3.95E-13, -3.45E-13",4.19E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131018B,304.53533,23.18669,5.4,0, TBD ,0.37, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,6.97E-07," +3.5, -6.97E-7",0.11," +3.0, -1.1",1.80E-12," +1.92E-12, -1.60E-12",1.81E-12, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",6.97E-07," +3.5, -6.97E-7", N/A ," , ",0.11," +3.0, -1.1", N/A ," , ", N/A ,1.80E-12," , ",1.81E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131018A,98.47131,-19.89652,1.5,4, TBD ,0.32, N/A ,0.21," +4.49E-2, -4.31E-2",2.8," +0.12, -0.11",8.26E-10," +3.69E-11, -3.50E-11",2.67E-09,0.12," +7.87E-2, -7.23E-2",2.1," +0.15, -0.15",3.87E-12," +3.21E-13, -2.93E-13",6.32E-12,1.88E-12,8.56E-13,1.5," +0.35, -0.73",135," +4.0, -8.5",0.43," +0.13, -0.11", N/A ," , ",2.8," +0.22, -0.21", N/A ," , ",2.49E-09," +2.18E-10, -1.99E-10",8.55E-09, N/A ," , ", N/A ,4.5," +0.22, -0.20",405," +47.1, -46.7",0.19," +5.16E-2, -4.80E-2",2.37E-06," +7.02E-2, -2.37E-6",3," +0.14, -0.14",2," +0.69, -0.22",5.60E-10," +2.92E-11, -2.76E-11",2.02E-09,6.01E-11," +2.15E-11, -1.49E-11",7.48E-11,1.1," +0.52, -0.35",1348," +373, -381", N/A ," , ",6.29E-02," +0.21, -6.29E-2", N/A ," , ",2.1," +0.44, -0.33", N/A ," , ", N/A ,1.01E-11," +2.52E-12, -1.98E-12",1.64E-11,0.28," +7.11E-2, -0.56",2.97E+04," +7927, -1.37E4", N/A ," , ",0.12," +9.48E-2, -8.57E-2", N/A ," , ",2.1," +0.18, -0.17", N/A ," , ", N/A ,3.44E-12," +3.41E-13, -3.05E-13",5.67E-12,1," +0.27, -0.21", N/A ," , ", N/A ," , ",0.36," +0.27, -0.22", N/A ," , ",2," +0.36, -0.33", N/A ," , ", N/A ,1.74E-12," +3.37E-13, -2.74E-13",2.95E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131014A,100.30226,-19.09772,2.8,0, TBD ,0.34, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.66," +0.61, -0.45",2.2," +0.67, -0.59",2.38E-12," +8.23E-13, -5.84E-13",5.05E-12,3.66E-12,9.78E-13,1.7," +0.22, -0.21", N/A ," , ", N/A ," , ",0.66," +0.61, -0.45", N/A ," , ",2.2," +0.67, -0.59", N/A ," , ", N/A ,2.38E-12," , ",5.05E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131011A,32.52627,-4.41126,4.5,0, TBD ,1.98E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,1.32E-06," +0.18, -1.32E-6",1.4," +0.93, -0.51",3.14E-13," +1.82E-13, -1.50E-13",3.28E-13, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",1.32E-06," +0.18, -1.32E-6", N/A ," , ",1.4," +0.93, -0.51", N/A ," , ", N/A ,3.14E-13," , ",3.28E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131004A,296.11291,-2.95846,1.4,0, TBD ,0.13,0.717, N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.66," +0.33, -0.27",1.9," +0.19, -0.18",4.71E-12," +5.64E-13, -5.00E-13",6.56E-12,1.94E-13,9.10E-14,0.97," +5.71E-2, -5.81E-2", N/A ," , ", N/A ," , ",0.66," +0.33, -0.27", N/A ," , ",1.9," +0.19, -0.18", N/A ," , ", N/A ,4.71E-12," , ",6.56E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131002B,75.12351,-75.70293,2.5,1, TBD ,0.13, N/A ,3.03E-26," +3.48E-3, -3.03E-26",1.4," +3.27E-2, -3.07E-2",1.95E-09," +7.09E-11, -4.87E-11",2.09E-09,0.27," +0.37, -0.25",2.1," +0.66, -0.57",2.47E-12," +9.46E-13, -6.50E-13",3.99E-12,7.29E-14,1.65E-14,3.23E-03," +7.59E-2, -7.31E-2",236," +14.9, -10.9",5.68E-14," +1.42E-2, -5.68E-14", N/A ," , ",1.3," +6.44E-2, -2.75E-2", N/A ," , ",2.36E-09," +9.73E-11, -1.04E-10",2.55E-09, N/A ," , ", N/A ,1.9," +7.36E-2, -6.10E-2", N/A ," , ",4.87E-13," +7.39E-3, -4.87E-13",0.27," +0.37, -0.25",1.8," +9.34E-2, -7.14E-2",2.1," +0.66, -0.57",6.25E-10," +5.13E-11, -3.45E-11",7.01E-10,2.47E-12," +9.46E-13, -6.50E-13",3.99E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
131002A,253.21862,82.05442,1.5,1, TBD ,7.40E-02, N/A ,1.59E-07," +0.12, -1.59E-7",1.8," +0.63, -0.24",2.27E-10," +5.19E-11, -5.91E-11",2.59E-10,5.20E-02," +5.11E-2, -4.55E-2",2," +0.17, -0.16",2.95E-12," +2.96E-13, -2.63E-13",3.69E-12,5.96E-13,2.91E-13,6," +0.92, -0.64",87.9," +4.9, -5.3",1.33E-06," +0.12, -1.33E-6", N/A ," , ",1.5," +0.38, -0.22", N/A ," , ",4.22E-10," +9.21E-11, -9.47E-11",4.59E-10, N/A ," , ", N/A ,0.92," +3.06E-2, -3.07E-2", N/A ," , ",7.11E-02," +0.30, -7.11E-2",6.42E-02," +5.31E-2, -4.73E-2",2.8," +1.5, -0.98",2," +0.17, -0.16",7.47E-11," +4.21E-11, -2.83E-11",1.35E-10,1.42E-12," +1.42E-13, -1.27E-13",1.81E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130929A,135.02406,-47.56103,2,0, TBD ,0.85, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,4.7," +2.1, -1.7",2.4," +0.70, -0.62",1.30E-12," +2.65E-13, -2.15E-13",5.75E-12,8.51E-14,3.09E-14,1.3," +0.10, -8.58E-2", N/A ," , ", N/A ," , ",4.7," +2.1, -1.7", N/A ," , ",2.4," +0.70, -0.62", N/A ," , ", N/A ,1.30E-12," , ",5.75E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130925A,41.17885,-26.15282,1.4,5, TBD ,1.75E-02,0.347,2.6," +4.20E-2, -4.11E-2",1.7," +1.50E-2, -1.48E-2",3.23E-09," +2.09E-11, -2.08E-11",5.27E-09,3.1," +0.31, -0.29",2.6," +0.14, -0.13",7.53E-11," +3.86E-12, -3.64E-12",2.77E-10,2.08E-11,1.05E-11,2.2," +6.72E-2, -6.77E-2",293," +13.6, -17.9",2.2," +0.13, -0.12", N/A ," , ",1.7," +5.21E-2, -5.11E-2", N/A ," , ",1.39E-08," +3.35E-10, -3.28E-10",2.17E-08, N/A ," , ", N/A ,2.7," +0.11, -0.11",671," +39.8, -35.0",2.2," +0.10, -9.68E-2", N/A ," , ",1.6," +3.77E-2, -3.70E-2", N/A ," , ",3.99E-09," +6.90E-11, -6.78E-11",5.86E-09, N/A ," , ", N/A ,0.87," +1.76E-2, -1.83E-2",1.21E+05," +2640, -6150",2.8," +4.93E-2, -4.83E-2",3.1," +0.20, -0.19",1.8," +1.72E-2, -1.70E-2",3," +9.90E-2, -9.50E-2",2.88E-09," +2.11E-11, -2.10E-11",4.85E-09,2.04E-11," +6.67E-13, -6.42E-13",1.23E-10,7.3," +0.65, -4.3",1.28E+05," +5328, -2949", N/A ," , ",3.1," +0.74, -0.64", N/A ," , ",3.5," +0.45, -0.41", N/A ," , ", N/A ,4.60E-12," +6.10E-13, -5.23E-13",5.88E-11,-0.95," +0.99, -0.55",1.73E+05," +9944, -1.51E4", N/A ," , ",3.8," +0.72, -0.65", N/A ," , ",3.8," +0.40, -0.37", N/A ," , ", N/A ,4.48E-12," +4.47E-13, -4.00E-13",9.66E-11,1.3," +2.69E-2, -2.62E-2", N/A ," , ",3.1," +0.20, -0.19", N/A ," , ",3.9," +0.14, -0.14", N/A ," , ", N/A ,3.77E-13," +1.32E-14, -1.26E-14",7.85E-12
130912A,47.59227,13.99674,1.6,1, TBD ,0.22, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,6.93E-07," +9.38E-2, -6.93E-7",1.4," +0.21, -0.11",4.50E-12," +4.47E-13, -5.57E-13",5.23E-12,1.25E-13,3.98E-14,0.27," +0.19, -1.1",418," +100, -264", N/A ," , ",7.07E-02," +0.24, -7.07E-2", N/A ," , ",1.4," +0.38, -0.30", N/A ," , ", N/A ,1.39E-10," +3.53E-11, -2.81E-11",1.64E-10,1.5," +8.19E-2, -0.14", N/A ," , ", N/A ," , ",1.22E-07," +7.90E-2, -1.22E-7", N/A ," , ",1.6," +0.19, -0.14", N/A ," , ", N/A ,1.23E-12," +1.47E-13, -1.60E-13",1.46E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130907A,215.89203,45.60742,1.4,4, TBD ,1.03E-02,1.238,1.1," +2.89E-2, -2.81E-2",1.5," +1.04E-2, -1.02E-2",6.39E-09," +4.50E-11, -4.52E-11",7.40E-09,1.1," +0.10, -9.97E-2",1.7," +4.51E-2, -4.45E-2",5.32E-11," +1.62E-12, -1.58E-12",6.47E-11,2.48E-11,6.60E-12,1.4," +0.39, -0.35",171," +4.8, -15.7",0.88," +0.12, -0.11", N/A ," , ",1.3," +4.07E-2, -4.03E-2", N/A ," , ",1.76E-08," +5.21E-10, -5.07E-10",1.93E-08, N/A ," , ", N/A ,-1.5," +0.00E0, 0.59",451," +177, -35.9",1.1," +8.12E-2, -7.71E-2", N/A ," , ",1.4," +2.59E-2, -2.57E-2", N/A ," , ",2.68E-08," +4.90E-10, -4.82E-10",3.02E-08, N/A ," , ", N/A ,2.4," +0.33, -0.41",1137," +25.1, -20.8",1," +4.12E-2, -3.97E-2", N/A ," , ",1.6," +1.55E-2, -1.53E-2", N/A ," , ",7.18E-09," +7.54E-11, -7.52E-11",8.38E-09, N/A ," , ", N/A ,1.1," +6.00E-2, -6.12E-2",5093," +917, -675",1.2," +5.04E-2, -4.83E-2", N/A ," , ",1.6," +1.77E-2, -1.75E-2", N/A ," , ",3.88E-09," +4.60E-11, -4.56E-11",4.60E-09, N/A ," , ", N/A ,1.7," +1.72E-2, -1.70E-2", N/A ," , ", N/A ," , ",1," +9.28E-2, -8.74E-2", N/A ," , ",1.8," +4.15E-2, -4.10E-2", N/A ," , ", N/A ,4.09E-12," +1.11E-13, -1.08E-13",5.14E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130903A,82.13029,-0.12711,3.4,0, TBD ,0.2, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,1.42E-06," +0.36, -1.42E-6",2.2," +0.82, -0.48",2.23E-13," +1.10E-13, -9.62E-14",3.46E-13,2.34E-13,1.30E-13,0.76," +0.58, -0.40", N/A ," , ", N/A ," , ",1.42E-06," +0.36, -1.42E-6", N/A ," , ",2.2," +0.82, -0.48", N/A ," , ", N/A ,2.23E-13," , ",3.46E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130831B,192.42086,-29.18296,1.4,1, TBD ,7.84E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.11," +5.19E-2, -4.75E-2",1.9," +0.15, -0.14",1.26E-11," +1.09E-12, -9.97E-13",1.66E-11,1.17E-12,5.31E-13,-7.37E-02," +0.20, -0.24",598," +104, -86.6", N/A ," , ",0.12," +8.69E-2, -7.57E-2", N/A ," , ",1.9," +0.24, -0.23", N/A ," , ", N/A ,8.54E-11," +1.27E-11, -1.08E-11",1.12E-10,1," +4.78E-2, -4.35E-2", N/A ," , ", N/A ," , ",9.96E-02," +6.15E-2, -5.51E-2", N/A ," , ",1.9," +0.17, -0.17", N/A ," , ", N/A ,8.38E-12," +8.80E-13, -7.87E-13",1.08E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130831A,358.62467,29.4298,1.5,5, TBD ,5.74E-02,0.4791,1.26E-25," +1.32E-2, -1.26E-25",2.6," +0.14, -0.12",2.95E-10," +2.23E-11, -1.97E-11",3.88E-10,3.72E-02," +6.22E-2, -3.72E-2",1.7," +0.11, -0.10",9.69E-12," +7.08E-13, -6.58E-13",1.08E-11,2.80E-12,1.38E-12,3.4," +0.82, -0.34",191," +22.3, -29.4",3.98E-27," +1.32E-2, -3.98E-27", N/A ," , ",2.6," +0.14, -0.12", N/A ," , ",3.37E-10," +2.65E-11, -2.36E-11",4.43E-10, N/A ," , ", N/A ,0.92," +0.67, -0.46",459," +82.3, -78.4",2.00E-08," +0.18, -2.00E-8",4.34E-10," +3.62E-2, -4.34E-10",2.5," +0.57, -0.38",1.8," +0.19, -0.14",1.72E-10," +5.15E-11, -4.29E-11",2.21E-10,1.51E-10," +2.65E-11, -1.86E-11",1.67E-10,-1," +0.58, -0.46",5584," +569, -3116", N/A ," , ",2.19E-09," +5.85E-2, -2.19E-9", N/A ," , ",1.6," +0.20, -9.21E-2", N/A ," , ", N/A ,1.79E-10," +2.40E-11, -2.42E-11",1.96E-10,8," +9.00E-3, -5.1",1.05E+04," +829, -247", N/A ," , ",0.44," +0.30, -0.24", N/A ," , ",2.3," +0.39, -0.36", N/A ," , ", N/A ,1.02E-11," +2.27E-12, -1.79E-12",1.65E-11,0.91," +9.46E-2, -9.92E-2",1.03E+05," +5977, -7830", N/A ," , ",7.35E-02," +8.28E-2, -7.35E-2", N/A ," , ",1.7," +0.14, -0.13", N/A ," , ", N/A ,4.71E-12," +4.41E-13, -3.98E-13",5.37E-12,7.5," +0.47, -1.6", N/A ," , ",4.94E-06," +0.28, -4.94E-6", N/A ," , ",1.5," +0.59, -0.22", N/A ," , ", N/A ,7.83E-14," +2.18E-14, -2.52E-14",8.43E-14
130822A,27.92196,-3.20879,3.6,0, TBD ,3.00E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,7.54E-02," +0.59, -7.54E-2",2.1," +1.9, -0.88",1.16E-13," +1.02E-13, -5.80E-14",1.47E-13, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",7.54E-02," +0.59, -7.54E-2", N/A ," , ",2.1," +1.9, -0.88", N/A ," , ", N/A ,1.16E-13," , ",1.47E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
